AREACD,AnualIncomeBeforeIncome,AnualIncomeAfterHousing
E02002483,34.333,30.885
E02002484,28.027,25.941
E02002485,29.585,24.574
E02002489,28.352,23.365
E02002490,28.832,24.679
E02002491,29.773,25.672
E02002492,30.403,28.719
E02002493,34.549,32.809
E02002494,28.719,24.422
E02006909,36.295,39.092
E02007059,32.774,27.142
E02002496,23.501,20.551
E02002497,26.752,21.638
E02002498,23.301,20.869
E02002499,27.703,23.906
E02002500,31.919,27.764
E02002501,30.818,27.126
E02002502,26.493,23.84
E02002503,29.905,25.717
E02002504,35.465,30.307
E02002505,27.952,23.172
E02002506,28.723,23.909
E02002507,38.21,33.94
E02002508,34.914,34.114
E02002509,34.458,28.579
E02002510,35.233,35.092
E02002512,37.849,39.174
E02002513,31.832,30.351
E02002514,31.02,29.427
E02006811,38.609,37.24
E02002515,29.137,25.588
E02002516,32.246,28.658
E02002517,30.054,27.075
E02002518,35.794,33.362
E02002519,29.392,27.437
E02002520,34.307,33.044
E02002521,35.201,33.915
E02002523,25.028,21.374
E02002524,31.051,28.718
E02002525,30.901,27.092
E02002526,31.773,29.686
E02002527,28.444,24.339
E02002529,31.225,30.431
E02002530,30.008,26.722
E02002532,31.784,27.326
E02002533,37.041,36.185
E02002534,37.748,36.733
E02006812,33.341,30.758
E02006910,31.463,29.458
E02002535,35.033,34.734
E02002536,32.462,28.322
E02002537,31.015,25.422
E02002538,32.443,28.836
E02002539,40.053,40.792
E02002540,38.504,37.011
E02002541,33.815,30.204
E02002542,29.911,26.722
E02002543,30.617,27.252
E02002544,31.249,28.118
E02002545,32.428,33.83
E02002546,29.503,26.842
E02002547,34.492,34.226
E02002549,37.146,34.948
E02002550,35.529,32.081
E02002551,27.753,22.952
E02002552,31.318,27.384
E02002553,31.921,28.916
E02002554,28.925,25.264
E02002555,38.373,35.674
E02002556,40.608,37.3
E02002558,42.066,38.315
E02007060,24.729,22.133
E02007061,30.3,27.905
E02007062,45.121,37.993
E02007063,46.047,38.528
E02002559,40.083,37.687
E02002560,34.296,31.024
E02002561,32.939,31.465
E02002562,27.83,24.461
E02002563,31.299,29.8
E02002564,32.243,29.306
E02002567,32.479,28.625
E02002568,39.807,39.326
E02002569,38.45,40.016
E02002570,29.503,25.279
E02002571,31.057,28.07
E02002572,31.968,26.337
E02002573,39.135,38.621
E02007058,30.206,26.811
E02004290,33.539,34.949
E02004291,31.152,27.926
E02004292,36.202,35.449
E02004293,30.598,27.976
E02004294,37.514,36.052
E02004295,34.872,34.078
E02004296,32.039,30.503
E02004297,34.744,34.329
E02004298,37.723,35.034
E02004299,31.039,29.132
E02004300,29.675,25.372
E02004301,29.328,25.749
E02004302,29.181,25.152
E02004303,31.935,28.546
E02004304,32.276,28.846
E02004305,32.266,30.124
E02004306,38.211,32.589
E02004307,33.498,29.505
E02004308,38.812,40.08
E02004309,36.176,31.629
E02004310,32.9,28.784
E02004311,32.561,31.111
E02004312,38.371,36.742
E02004313,28.335,25.326
E02004314,38.638,29.329
E02004315,43.734,38.204
E02004316,31.544,27.741
E02004317,30.1,27.36
E02004318,37.823,31.976
E02004319,34.593,33.095
E02004320,33.04,32.391
E02004321,31.178,28.767
E02004322,27.927,25.269
