Reg,Descripción series,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
1.,"Población total, INE (número de personas) ","15,691,701.00","15,856,977.00","16,022,133.00","16,183,489.00","16,347,890.00","16,517,933.00","16,697,754.00","16,881,078.00","17,063,927.00","17,254,159.00","17,443,491.00","17,611,902.00","17,787,617.00","17,971,423.00","18,167,147.00","18,419,192.00","18,751,405.00","19,107,216.00","19,458,310.00","19,678,363.00","19,828,563.00","19,960,889.00","20,086,377.00","20,206,953.00","20,322,807.00","20,433,791.00","20,539,666.00","20,640,230.00","20,735,289.00","20,826,397.00","20,912,278.00","20,992,831.00","21,067,996.00","21,137,769.00"
1.1.,      Región de Arica y Parinacota,"195,426.00","197,382.00","199,548.00","201,749.00","204,095.00","206,494.00","209,279.00","212,189.00","215,208.00","218,689.00","222,202.00","225,025.00","227,956.00","230,986.00","233,922.00","237,082.00","241,901.00","247,036.00","252,110.00","255,380.00","257,722.00","259,802.00","261,779.00","263,687.00","265,533.00","267,315.00","269,035.00","270,701.00","272,300.00","273,869.00","275,397.00","276,881.00","278,317.00","279,692.00"
1.2.,      Región de Tarapacá,"246,265.00","251,625.00","257,394.00","263,141.00","268,976.00","275,014.00","281,334.00","287,773.00","294,172.00","301,143.00","308,251.00","314,818.00","321,678.00","328,417.00","334,865.00","342,129.00","354,940.00","368,906.00","382,773.00","391,165.00","396,697.00","401,588.00","406,287.00","410,903.00","415,447.00","419,920.00","424,315.00","428,636.00","432,868.00","437,075.00","441,216.00","445,290.00","449,291.00","453,219.00"
1.3.,      Región de Antofagasta,"502,741.00","510,045.00","517,333.00","524,422.00","531,553.00","539,071.00","546,939.00","554,646.00","562,331.00","570,307.00","578,137.00","586,685.00","596,155.00","604,877.00","613,640.00","623,851.00","645,022.00","668,563.00","691,854.00","703,746.00","709,637.00","714,142.00","718,232.00","722,120.00","725,843.00","729,405.00","732,792.00","736,010.00","739,057.00","742,188.00","744,984.00","747,617.00","750,069.00","752,337.00"
1.4.,      Región de Atacama,"263,924.00","266,544.00","268,999.00","271,434.00","274,064.00","276,858.00","279,750.00","282,769.00","285,860.00","289,014.00","291,941.00","294,709.00","297,546.00","300,065.00","302,402.00","304,580.00","307,835.00","311,307.00","314,709.00","316,737.00","318,004.00","319,048.00","319,992.00","320,864.00","321,644.00","322,351.00","322,990.00","323,566.00","324,061.00","324,510.00","324,890.00","325,209.00","325,448.00","325,620.00"
1.5.,      Región de Coquimbo,"628,489.00","637,313.00","646,251.00","655,329.00","664,731.00","674,245.00","684,510.00","695,510.00","706,914.00","718,763.00","730,943.00","743,026.00","755,432.00","768,087.00","780,310.00","793,049.00","807,213.00","821,726.00","836,096.00","848,079.00","858,769.00","869,103.00","879,267.00","889,273.00","899,128.00","908,851.00","918,417.00","927,839.00","937,116.00","946,324.00","955,364.00","964,216.00","972,858.00","981,301.00"
1.6.,      Región de Valparaíso,"1,597,346.00","1,615,876.00","1,634,045.00","1,651,904.00","1,669,839.00","1,688,072.00","1,707,196.00","1,726,803.00","1,746,537.00","1,766,558.00","1,787,099.00","1,805,775.00","1,824,842.00","1,844,609.00","1,864,129.00","1,885,948.00","1,910,385.00","1,935,455.00","1,960,170.00","1,979,373.00","1,995,538.00","2,010,849.00","2,025,693.00","2,040,166.00","2,054,246.00","2,067,920.00","2,081,176.00","2,093,979.00","2,106,331.00","2,118,368.00","2,129,970.00","2,141,123.00","2,151,817.00","2,162,052.00"
1.7.,      Región Metropolitana,"6,305,647.00","6,379,768.00","6,453,961.00","6,525,158.00","6,597,698.00","6,672,285.00","6,750,464.00","6,827,896.00","6,904,143.00","6,984,240.00","7,065,046.00","7,131,650.00","7,202,595.00","7,279,754.00","7,369,532.00","7,508,690.00","7,702,891.00","7,915,199.00","8,125,072.00","8,242,459.00","8,310,984.00","8,367,790.00","8,420,729.00","8,471,244.00","8,519,527.00","8,565,503.00","8,609,036.00","8,649,979.00","8,688,263.00","8,724,360.00","8,758,105.00","8,789,317.00","8,818,024.00","8,844,243.00"
1.8.,      Región del Libertador General Bernardo O'Higgins,"808,184.00","817,011.00","825,816.00","834,493.00","843,131.00","852,115.00","861,829.00","871,847.00","881,986.00","892,165.00","902,274.00","912,070.00","921,886.00","931,982.00","942,520.00","954,279.00","966,486.00","978,868.00","991,063.00","1,000,959.00","1,009,552.00","1,017,701.00","1,025,586.00","1,033,238.00","1,040,655.00","1,047,814.00","1,054,699.00","1,061,306.00","1,067,612.00","1,073,713.00","1,079,553.00","1,085,126.00","1,090,412.00","1,095,440.00"
1.9.,      Región del Maule,"943,174.00","951,348.00","959,581.00","967,638.00","975,876.00","984,607.00","994,027.00","1,004,039.00","1,014,309.00","1,024,845.00","1,035,111.00","1,045,513.00","1,056,331.00","1,067,995.00","1,079,855.00","1,092,575.00","1,105,731.00","1,118,947.00","1,131,939.00","1,143,012.00","1,153,043.00","1,162,641.00","1,171,982.00","1,181,074.00","1,189,907.00","1,198,464.00","1,206,721.00","1,214,693.00","1,222,369.00","1,229,833.00","1,237,008.00","1,243,905.00","1,250,503.00","1,256,803.00"
