region,defunciones,tasa,swaroop_total,swaroop_hombre,swaroop_mujer
Arica y Parinacota,1205,5.13,0.75,0.72,0.78
Tarapacá,1425,4.33,0.7,0.64,0.77
Antofagasta,3068,5,0.71,0.66,0.78
Atacama,1484,4.81,0.75,0.73,0.78
Coquimbo,4133,5.44,0.78,0.73,0.84
Valparaíso,12106,6.69,0.82,0.78,0.87
Región Metropolitana de Santiago,38839,5.37,0.78,0.72,0.85
Libertador General Bernardo O'Higgins,5341,5.87,0.77,0.74,0.81
Maule,6194,5.98,0.79,0.75,0.84
Bío-Bío,12752,6.07,0.78,0.74,0.83
La Araucanía,6148,6.25,0.78,0.73,0.84
Los Ríos,2614,6.51,0.78,0.74,0.82
Los Lagos,5052,6.05,0.75,0.68,0.83
Aisén del General Carlos Ibáñez del Campo,483,4.5,0.7,0.68,0.74
Magallanes y de la Antártica Chilena,1095,6.69,0.78,0.72,0.87
