year,region_clean,causa_nombre,defunciones
2002,Aisén del General Carlos Ibáñez del Campo,Circulatory diseases,91
2002,Aisén del General Carlos Ibáñez del Campo,Congenital malformations,4
2002,Aisén del General Carlos Ibáñez del Campo,Digestive diseases,24
2002,Aisén del General Carlos Ibáñez del Campo,Endocrine/Metabolic,13
2002,Aisén del General Carlos Ibáñez del Campo,Genitourinary diseases,10
2002,Aisén del General Carlos Ibáñez del Campo,Infectious diseases,11
2002,Aisén del General Carlos Ibáñez del Campo,Mental disorders,13
2002,Aisén del General Carlos Ibáñez del Campo,Nervous system,9
2002,Aisén del General Carlos Ibáñez del Campo,Perinatal conditions,6
2002,Aisén del General Carlos Ibáñez del Campo,Respiratory diseases,32
2002,Aisén del General Carlos Ibáñez del Campo,Symptoms (unclassified),11
2002,Aisén del General Carlos Ibáñez del Campo,Tumors (Cancer),105
2002,Antofagasta,Circulatory diseases,571
2002,Antofagasta,Congenital malformations,28
2002,Antofagasta,Digestive diseases,216
2002,Antofagasta,Endocrine/Metabolic,111
2002,Antofagasta,Genitourinary diseases,71
2002,Antofagasta,Infectious diseases,54
2002,Antofagasta,Mental disorders,87
2002,Antofagasta,Nervous system,44
2002,Antofagasta,Perinatal conditions,35
2002,Antofagasta,Respiratory diseases,213
2002,Antofagasta,Symptoms (unclassified),46
2002,Antofagasta,Tumors (Cancer),690
2002,Arica y Parinacota,Circulatory diseases,211
2002,Arica y Parinacota,Congenital malformations,8
2002,Arica y Parinacota,Digestive diseases,91
2002,Arica y Parinacota,Endocrine/Metabolic,49
2002,Arica y Parinacota,Genitourinary diseases,36
2002,Arica y Parinacota,Infectious diseases,37
2002,Arica y Parinacota,Mental disorders,24
2002,Arica y Parinacota,Nervous system,28
2002,Arica y Parinacota,Perinatal conditions,14
2002,Arica y Parinacota,Respiratory diseases,67
2002,Arica y Parinacota,Symptoms (unclassified),18
2002,Arica y Parinacota,Tumors (Cancer),227
2002,Atacama,Circulatory diseases,319
2002,Atacama,Congenital malformations,23
2002,Atacama,Digestive diseases,80
2002,Atacama,Endocrine/Metabolic,55
2002,Atacama,Genitourinary diseases,32
2002,Atacama,Infectious diseases,19
2002,Atacama,Mental disorders,18
2002,Atacama,Nervous system,24
2002,Atacama,Perinatal conditions,19
2002,Atacama,Respiratory diseases,148
2002,Atacama,Symptoms (unclassified),34
2002,Atacama,Tumors (Cancer),285
2002,Bío-Bío,Circulatory diseases,2106
2002,Bío-Bío,Congenital malformations,90
2002,Bío-Bío,Digestive diseases,717
2002,Bío-Bío,Endocrine/Metabolic,348
2002,Bío-Bío,Genitourinary diseases,188
2002,Bío-Bío,Infectious diseases,161
2002,Bío-Bío,Mental disorders,260
2002,Bío-Bío,Nervous system,180
2002,Bío-Bío,Perinatal conditions,70
2002,Bío-Bío,Respiratory diseases,682
2002,Bío-Bío,Symptoms (unclassified),137
2002,Bío-Bío,Tumors (Cancer),1964
2002,Coquimbo,Circulatory diseases,824
2002,Coquimbo,Congenital malformations,32
2002,Coquimbo,Digestive diseases,181
2002,Coquimbo,Endocrine/Metabolic,113
2002,Coquimbo,Genitourinary diseases,74
2002,Coquimbo,Infectious diseases,90
2002,Coquimbo,Mental disorders,45
2002,Coquimbo,Nervous system,64
2002,Coquimbo,Perinatal conditions,33
2002,Coquimbo,Respiratory diseases,289
2002,Coquimbo,Symptoms (unclassified),138
2002,Coquimbo,Tumors (Cancer),821
2002,La Araucanía,Circulatory diseases,1374
2002,La Araucanía,Congenital malformations,69
2002,La Araucanía,Digestive diseases,320
2002,La Araucanía,Endocrine/Metabolic,189
2002,La Araucanía,Genitourinary diseases,94
2002,La Araucanía,Infectious diseases,111
2002,La Araucanía,Mental disorders,162
2002,La Araucanía,Nervous system,113
2002,La Araucanía,Perinatal conditions,52
2002,La Araucanía,Respiratory diseases,523
2002,La Araucanía,Symptoms (unclassified),484
2002,La Araucanía,Tumors (Cancer),1238
2002,Libertador General Bernardo O'Higgins,Circulatory diseases,1191
2002,Libertador General Bernardo O'Higgins,Congenital malformations,38
2002,Libertador General Bernardo O'Higgins,Digestive diseases,326
2002,Libertador General Bernardo O'Higgins,Endocrine/Metabolic,190
2002,Libertador General Bernardo O'Higgins,Genitourinary diseases,130
2002,Libertador General Bernardo O'Higgins,Infectious diseases,99
2002,Libertador General Bernardo O'Higgins,Mental disorders,102
2002,Libertador General Bernardo O'Higgins,Nervous system,96
2002,Libertador General Bernardo O'Higgins,Perinatal conditions,40
2002,Libertador General Bernardo O'Higgins,Respiratory diseases,452
2002,Libertador General Bernardo O'Higgins,Symptoms (unclassified),164
2002,Libertador General Bernardo O'Higgins,Tumors (Cancer),890
2002,Los Lagos,Circulatory diseases,1016
2002,Los Lagos,Congenital malformations,41
2002,Los Lagos,Digestive diseases,322
2002,Los Lagos,Endocrine/Metabolic,171
2002,Los Lagos,Genitourinary diseases,74
2002,Los Lagos,Infectious diseases,91
2002,Los Lagos,Mental disorders,103
2002,Los Lagos,Nervous system,84
2002,Los Lagos,Perinatal conditions,47
2002,Los Lagos,Respiratory diseases,447
2002,Los Lagos,Symptoms (unclassified),293
2002,Los Lagos,Tumors (Cancer),964
2002,Los Ríos,Circulatory diseases,576
2002,Los Ríos,Congenital malformations,26
2002,Los Ríos,Digestive diseases,157
2002,Los Ríos,Endocrine/Metabolic,80
2002,Los Ríos,Genitourinary diseases,36
2002,Los Ríos,Infectious diseases,56
2002,Los Ríos,Mental disorders,55
2002,Los Ríos,Nervous system,57
2002,Los Ríos,Perinatal conditions,19
2002,Los Ríos,Respiratory diseases,197
2002,Los Ríos,Symptoms (unclassified),86
2002,Los Ríos,Tumors (Cancer),513
2002,Magallanes y de la Antártica Chilena,Circulatory diseases,246
2002,Magallanes y de la Antártica Chilena,Congenital malformations,11
2002,Magallanes y de la Antártica Chilena,Digestive diseases,82
