Date,Rate Money Stock
01/01/1959,1.773
01/04/1959,1.789
01/07/1959,1.773
01/10/1959,1.779
01/01/1960,1.817
01/04/1960,1.797
01/07/1960,1.78
01/10/1960,1.737
01/01/1961,1.723
01/04/1961,1.725
01/07/1961,1.733
01/10/1961,1.742
01/01/1962,1.746
01/04/1962,1.728
01/07/1962,1.726
01/10/1962,1.701
01/01/1963,1.69
01/04/1963,1.675
01/07/1963,1.68
01/10/1963,1.672
01/01/1964,1.685
01/04/1964,1.679
01/07/1964,1.674
01/10/1964,1.653
01/01/1965,1.668
01/04/1965,1.669
01/07/1965,1.68
01/10/1965,1.693
01/01/1966,1.713
01/04/1966,1.712
01/07/1966,1.733
01/10/1966,1.744
01/01/1967,1.739
01/04/1967,1.708
01/07/1967,1.695
01/10/1967,1.691
01/01/1968,1.715
01/04/1968,1.733
01/07/1968,1.73
01/10/1968,1.722
01/01/1969,1.737
01/04/1969,1.749
01/07/1969,1.774
01/10/1969,1.773
01/01/1970,1.789
01/04/1970,1.804
01/07/1970,1.795
01/10/1970,1.752
01/01/1971,1.77
01/04/1971,1.736
01/07/1971,1.717
01/10/1971,1.69
01/01/1972,1.696
01/04/1972,1.703
01/07/1972,1.679
01/10/1972,1.673
01/01/1973,1.694
01/04/1973,1.71
01/07/1973,1.711
01/10/1973,1.739
01/01/1974,1.725
01/04/1974,1.748
01/07/1974,1.764
01/10/1974,1.781
01/01/1975,1.766
01/04/1975,1.741
01/07/1975,1.739
01/10/1975,1.75
01/01/1976,1.752
01/04/1976,1.731
01/07/1976,1.717
01/10/1976,1.699
01/01/1977,1.689
01/04/1977,1.701
01/07/1977,1.713
01/10/1977,1.715
01/01/1978,1.713
01/04/1978,1.78
01/07/1978,1.795
01/10/1978,1.822
01/01/1979,1.832
01/04/1979,1.835
01/07/1979,1.846
01/10/1979,1.857
01/01/1980,1.869
01/04/1980,1.847
01/07/1980,1.831
01/10/1980,1.874
01/01/1981,1.928
01/04/1981,1.9
01/07/1981,1.925
01/10/1981,1.888
01/01/1982,1.842
01/04/1982,1.836
01/07/1982,1.825
01/10/1982,1.804
