Entity,Code,Year,Period life expectancy at birth
United Kingdom,GBR,1543,33.94
United Kingdom,GBR,1548,38.82
United Kingdom,GBR,1553,39.59
United Kingdom,GBR,1558,22.38
United Kingdom,GBR,1563,36.66
United Kingdom,GBR,1568,39.67
United Kingdom,GBR,1573,41.06
United Kingdom,GBR,1578,41.56
United Kingdom,GBR,1583,42.7
United Kingdom,GBR,1588,37.05
United Kingdom,GBR,1593,38.05
United Kingdom,GBR,1598,37.82
United Kingdom,GBR,1603,38.53
United Kingdom,GBR,1608,39.59
United Kingdom,GBR,1613,36.79
United Kingdom,GBR,1618,40.31
United Kingdom,GBR,1623,33.39
United Kingdom,GBR,1628,39.69
United Kingdom,GBR,1633,39.72
United Kingdom,GBR,1638,34.03
United Kingdom,GBR,1643,36.32
United Kingdom,GBR,1648,39.74
United Kingdom,GBR,1653,39.14
United Kingdom,GBR,1658,33.04
United Kingdom,GBR,1663,33.27
United Kingdom,GBR,1668,32.48
United Kingdom,GBR,1673,37.41
United Kingdom,GBR,1678,32.4
United Kingdom,GBR,1683,31.27
United Kingdom,GBR,1688,35.93
United Kingdom,GBR,1693,36.35
United Kingdom,GBR,1698,38.06
United Kingdom,GBR,1703,38.47
United Kingdom,GBR,1708,38.5
United Kingdom,GBR,1713,36.89
United Kingdom,GBR,1718,35.75
United Kingdom,GBR,1723,35.49
United Kingdom,GBR,1728,25.34
United Kingdom,GBR,1733,36.34
United Kingdom,GBR,1738,35.26
United Kingdom,GBR,1743,34.27
United Kingdom,GBR,1748,36.47
United Kingdom,GBR,1753,39.77
United Kingdom,GBR,1758,38.12
United Kingdom,GBR,1763,35.37
United Kingdom,GBR,1768,36.19
United Kingdom,GBR,1773,39.09
United Kingdom,GBR,1778,37.74
United Kingdom,GBR,1783,35.81
United Kingdom,GBR,1788,38.97
United Kingdom,GBR,1793,37.92
United Kingdom,GBR,1798,38.93
United Kingdom,GBR,1803,40.02
United Kingdom,GBR,1808,40.58
United Kingdom,GBR,1813,41.25
United Kingdom,GBR,1818,40.84
United Kingdom,GBR,1823,40.47
United Kingdom,GBR,1828,41.43
United Kingdom,GBR,1833,40.89
United Kingdom,GBR,1838,40.56
United Kingdom,GBR,1842,40.995
United Kingdom,GBR,1843,41.56
United Kingdom,GBR,1844,41.24
United Kingdom,GBR,1845,42.17
United Kingdom,GBR,1846,40.15
United Kingdom,GBR,1847,38.515
United Kingdom,GBR,1848,39.89
United Kingdom,GBR,1849,37.68
United Kingdom,GBR,1850,42.77
United Kingdom,GBR,1851,40.95
United Kingdom,GBR,1852,40.41
United Kingdom,GBR,1853,39.985
United Kingdom,GBR,1854,39.48
United Kingdom,GBR,1855,40.74
United Kingdom,GBR,1856,42.47
United Kingdom,GBR,1857,40.925
United Kingdom,GBR,1858,39.545
United Kingdom,GBR,1859,40.405
