year,region_clean,defunciones,poblacion,tasa_mortalidad
1990.0,Aisén del General Carlos Ibáñez del Campo,395,,
1990.0,Antofagasta,2185,,
1990.0,Arica y Parinacota,763,,
1990.0,Atacama,1055,,
1990.0,Coquimbo,2772,,
1990.0,Del Bíobío,8206,,
1990.0,La Araucanía,5622,,
1990.0,Libertador General Bernardo O'Higgins,4048,,
1990.0,Los Lagos,3966,,
1990.0,Los Ríos,2305,,
1990.0,Magallanes y de la Antártica Chilena,792,,
1990.0,Maule,5591,,
1990.0,Región Metropolitana de Santiago,27886,,
1990.0,Tarapacá,727,,
1990.0,Valparaíso,8989,,
1990.0,Ñuble,3101,,
1991.0,Aisén del General Carlos Ibáñez del Campo,344,,
1991.0,Antofagasta,2229,,
1991.0,Arica y Parinacota,732,,
1991.0,Atacama,987,,
1991.0,Coquimbo,2722,,
1991.0,Del Bíobío,7555,,
1991.0,Ignorada,2,,
1991.0,La Araucanía,5335,,
1991.0,Libertador General Bernardo O'Higgins,3735,,
1991.0,Los Lagos,3978,,
1991.0,Los Ríos,2237,,
1991.0,Magallanes y de la Antártica Chilena,758,,
1991.0,Maule,5198,,
1991.0,Región Metropolitana de Santiago,26771,,
1991.0,Tarapacá,777,,
1991.0,Valparaíso,8574,,
1991.0,Ñuble,2908,,
1992.0,Aisén del General Carlos Ibáñez del Campo,370,,
1992.0,Antofagasta,2018,,
1992.0,Arica y Parinacota,701,,
1992.0,Atacama,975,,
1992.0,Coquimbo,2685,,
1992.0,Del Bíobío,7077,,
1992.0,La Araucanía,5050,,
1992.0,Libertador General Bernardo O'Higgins,3897,,
1992.0,Los Lagos,3806,,
1992.0,Los Ríos,2086,,
1992.0,Magallanes y de la Antártica Chilena,795,,
1992.0,Maule,5101,,
1992.0,Región Metropolitana de Santiago,27268,,
1992.0,Tarapacá,828,,
1992.0,Valparaíso,8595,,
1992.0,Ñuble,2801,,
1993.0,Aisén del General Carlos Ibáñez del Campo,372,,
1993.0,Antofagasta,2167,,
1993.0,Arica y Parinacota,746,,
1993.0,Atacama,1076,,
1993.0,Coquimbo,2766,,
1993.0,Del Bíobío,7233,,
1993.0,La Araucanía,5220,,
1993.0,Libertador General Bernardo O'Higgins,3917,,
1993.0,Los Lagos,4014,,
1993.0,Los Ríos,2097,,
1993.0,Magallanes y de la Antártica Chilena,789,,
1993.0,Maule,5293,,
1993.0,Región Metropolitana de Santiago,28047,,
1993.0,Tarapacá,797,,
1993.0,Valparaíso,8902,,
1993.0,Ñuble,2813,,
1994.0,Aisén del General Carlos Ibáñez del Campo,384,,
1994.0,Antofagasta,2157,,
1994.0,Arica y Parinacota,706,,
1994.0,Atacama,1009,,
1994.0,Coquimbo,2647,,
1994.0,Del Bíobío,7339,,
1994.0,La Araucanía,5129,,
1994.0,Libertador General Bernardo O'Higgins,4046,,
1994.0,Los Lagos,3853,,
1994.0,Los Ríos,2121,,
1994.0,Magallanes y de la Antártica Chilena,882,,
1994.0,Maule,5079,,
1994.0,Región Metropolitana de Santiago,27714,,
1994.0,Tarapacá,840,,
1994.0,Valparaíso,8697,,
1994.0,Ñuble,2813,,
1995.0,Aisén del General Carlos Ibáñez del Campo,403,,
1995.0,Antofagasta,2228,,
1995.0,Arica y Parinacota,751,,
1995.0,Atacama,1073,,
1995.0,Coquimbo,2798,,
1995.0,Del Bíobío,7834,,
1995.0,La Araucanía,5395,,
1995.0,Libertador General Bernardo O'Higgins,4027,,
1995.0,Los Lagos,4047,,
1995.0,Los Ríos,2196,,
1995.0,Magallanes y de la Antártica Chilena,808,,
1995.0,Maule,5234,,
1995.0,Región Metropolitana de Santiago,28666,,
1995.0,Tarapacá,857,,
1995.0,Valparaíso,9242,,
1995.0,Ñuble,2952,,
1996.0,Aisén del General Carlos Ibáñez del Campo,392,,
1996.0,Antofagasta,2214,,
1996.0,Arica y Parinacota,832,,
1996.0,Atacama,1062,,
1996.0,Coquimbo,2767,,
1996.0,Del Bíobío,7772,,
1996.0,La Araucanía,5305,,
1996.0,Libertador General Bernardo O'Higgins,4224,,
1996.0,Los Lagos,3930,,
1996.0,Los Ríos,2120,,
1996.0,Magallanes y de la Antártica Chilena,877,,
1996.0,Maule,5217,,
1996.0,Región Metropolitana de Santiago,29297,,
1996.0,Tarapacá,927,,
1996.0,Valparaíso,9310,,
1996.0,Ñuble,2863,,
1997.0,Aisén del General Carlos Ibáñez del Campo,370,,
1997.0,Antofagasta,2201,,
1997.0,Arica y Parinacota,799,,
1997.0,Atacama,1142,,
1997.0,Coquimbo,2769,,
1997.0,Del Bíobío,7733,,
1997.0,La Araucanía,5182,,
1997.0,Libertador General Bernardo O'Higgins,3994,,
1997.0,Los Lagos,3757,,
1997.0,Los Ríos,2054,,
1997.0,Magallanes y de la Antártica Chilena,911,,
1997.0,Maule,5191,,
1997.0,Región Metropolitana de Santiago,29204,,
1997.0,Tarapacá,889,,
1997.0,Valparaíso,9349,,
1997.0,Ñuble,2916,,
1998.0,Aisén del General Carlos Ibáñez del Campo,429,,
1998.0,Antofagasta,2371,,
1998.0,Arica y Parinacota,868,,
1998.0,Atacama,1107,,
1998.0,Coquimbo,2948,,
1998.0,Del Bíobío,7769,,
